net1 X,net1 Y,net5 X,net5 Y
5.002330144002511e-09,1,5.002330144002511e-09,0.089435601065325
5.002497489470621e-09,1,5.002497489470621e-09,0.08943812273047945
5.00269727704325e-09,1,5.00269727704325e-09,0.08944195885639809
5.002943597844249e-09,1,5.002943597844249e-09,0.0894474771742033
5.003236046058003e-09,1,5.003236046058003e-09,0.08945464283522886
5.003592568962445e-09,1,5.003592568962445e-09,0.0894637758143008
5.004047928502204e-09,1,5.004047928502204e-09,0.08947564748794753
5.004670766701479e-09,1,5.004670766701479e-09,0.08949195077525363
5.005620880772455e-09,1,5.005620880772455e-09,0.08951679519835795
5.007407042329777e-09,1,5.007407042329777e-09,0.08956339163071037
5.010979365444422e-09,1,5.010979365444422e-09,0.08965622347313792
5.017041218031002e-09,1,5.017041218031002e-09,0.0898126703535444
5.029135786435431e-09,1,5.029135786435431e-09,0.09012088131625426
5.053324923244288e-09,1,5.053324923244288e-09,0.09072265317032711
5.101703196862002e-09,1,5.101703196862002e-09,0.09187500120910086
5.152775019886645e-09,1,5.152775019886645e-09,0.09302829710437505
5.204910003300041e-09,1,5.204910003300041e-09,0.09415034547983334
5.259861596346382e-09,1,5.259861596346382e-09,0.09528444309621625
5.317374480572025e-09,1,5.317374480572025e-09,0.09642925262276741
5.378294818754711e-09,1,5.378294818754711e-09,0.09760560757462303
5.443287711650439e-09,1,5.443287711650439e-09,0.09882977400681814
5.51275364688686e-09,1,5.51275364688686e-09,0.1001129258108648
5.587102201519394e-09,1,5.587102201519394e-09,0.1014668457151933
5.666735001971129e-09,1,5.666735001971129e-09,0.1029037473994065
5.752087266730044e-09,1,5.752087266730044e-09,0.1044371147398562
5.843654916407452e-09,1,5.843654916407452e-09,0.1060822338078616
5.941995988485113e-09,1,5.941995988485113e-09,0.1078562680020921
6.047736255861793e-09,1,6.047736255861793e-09,0.1097784246064428
6.161576596420427e-09,1,6.161576596420427e-09,0.1118701668393474
6.284303486279781e-09,1,6.284303486279781e-09,0.1141554977125708
6.416804620159616e-09,1,6.416804620159616e-09,0.1166613584002942
6.560090036499165e-09,1,6.560090036499165e-09,0.1194181591477462
6.715320256471113e-09,1,6.715320256471113e-09,0.1224604857992204
6.883843804924474e-09,1,6.883843804924474e-09,0.1258280468098189
7.067247427021124e-09,1,7.067247427021124e-09,0.1295669514944001
7.267247427021124e-09,1,7.267247427021124e-09,0.1337277444449816
7.467247427021123e-09,1,7.467247427021123e-09,0.1379703979247311
7.667247427021123e-09,1,7.667247427021123e-09,0.1422893267733056
7.867247427021123e-09,1,7.867247427021123e-09,0.1466789989356093
8.067247427021123e-09,1,8.067247427021123e-09,0.1511340801265784
8.267247427021124e-09,1,8.267247427021124e-09,0.1556495232653966
8.467247427021124e-09,1,8.467247427021124e-09,0.1602206156591471
8.667247427021124e-09,1,8.667247427021124e-09,0.1648429969464016
8.867247427021124e-09,1,8.867247427021124e-09,0.1695126581426811
9.067247427021124e-09,1,9.067247427021124e-09,0.1742259291743644
9.267247427021124e-09,1,9.267247427021124e-09,0.1789794598851946
9.467247427021124e-09,1,9.467247427021124e-09,0.1837701977649439
9.667247427021125e-09,1,9.667247427021125e-09,0.1885953644669625
9.867247427021125e-09,1,9.867247427021125e-09,0.1934524323977299
1.006724742702112e-08,1,1.006724742702112e-08,0.1983391021496954
1.026724742702112e-08,1,1.026724742702112e-08,0.2032532812167352
1.046724742702113e-08,1,1.046724742702113e-08,0.2081930642172742
1.066724742702113e-08,1,1.066724742702113e-08,0.2131567147127283
1.086724742702113e-08,1,1.086724742702113e-08,0.2181426486219558
1.106724742702113e-08,1,1.106724742702113e-08,0.2231494191786945
1.126724742702113e-08,1,1.126724742702113e-08,0.2281757033472623
1.146724742702113e-08,1,1.146724742702113e-08,0.2332202895947288
1.166724742702113e-08,1,1.166724742702113e-08,0.2382820669103514
1.186724742702113e-08,1,1.186724742702113e-08,0.2433600149619674
1.206724742702113e-08,1,1.206724742702113e-08,0.2484531952819779
1.226724742702113e-08,1,1.226724742702113e-08,0.2535607433809771
1.246724742702113e-08,1,1.246724742702113e-08,0.2586818616939039
1.266724742702113e-08,1,1.266724742702113e-08,0.2638158132711019
1.286724742702113e-08,1,1.286724742702113e-08,0.26896191613438
