Istar (L_var=3.5e-07) X,Istar (L_var=3.5e-07) Y,Istar (L_var=4e-07) X,Istar (L_var=4e-07) Y,Istar (L_var=4.5e-07) X,Istar (L_var=4.5e-07) Y,Istar (L_var=5e-07) X,Istar (L_var=5e-07) Y,Istar (L_var=5.5e-07) X,Istar (L_var=5.5e-07) Y,Istar (L_var=6e-07) X,Istar (L_var=6e-07) Y,Istar (L_var=6.5e-07) X,Istar (L_var=6.5e-07) Y,Istar (L_var=7e-07) X,Istar (L_var=7e-07) Y,Istar (L_var=7.5e-07) X,Istar (L_var=7.5e-07) Y,Istar (L_var=8e-07) X,Istar (L_var=8e-07) Y,Istar (L_var=8.5e-07) X,Istar (L_var=8.5e-07) Y,Istar (L_var=9e-07) X,Istar (L_var=9e-07) Y,Istar (L_var=9.5e-07) X,Istar (L_var=9.5e-07) Y,Istar (L_var=1e-06) X,Istar (L_var=1e-06) Y
1.142857,49.98822433650388,1.142857,44.31075766073553,1.142857,40.10629577831084,1.142857,36.79223419155235,1.142857,34.06475723868112,1.142857,31.75310041413024,1.142857,29.75383579783709,1.142857,27.9997043718402,1.142857,26.44412205747954,1.142857,25.05309759596863,1.142857,23.80079330912271,1.142857,22.66694894107345,1.142857,21.63530046024438,1.142857,20.69255595698177
1.183673,55.77223223141379,1.183673,49.52081367624803,1.183673,44.86303080726426,1.183673,41.17757592114831,1.183673,38.1375733650082,1.183673,35.55771549876067,1.183673,33.32487757346536,1.183673,31.36500251392701,1.183673,29.6265335825115,1.183673,28.07171438922888,1.183673,26.67177712244575,1.183673,25.40413112475246,1.183673,24.25062647113558,1.183673,23.19642335632835
1.22449,61.78067537969682,1.22449,54.94285847413616,1.22449,49.81989826539293,1.22449,45.75215576558568,1.22449,42.38973880297422,1.22449,39.53272600844632,1.22449,37.05819452188182,1.22449,34.88518801510369,1.22449,32.95708601727416,1.22449,31.23228816823297,1.22449,29.67902922048139,1.22449,28.27233083344923,1.22449,26.99210833821501,1.22449,25.82193219709694
1.265306,68.00240480685828,1.265306,60.56711823602301,1.265306,54.96827641279717,1.265306,50.50831262411636,1.265306,46.8143970454413,1.265306,43.67195456501402,1.265306,40.94818742839178,1.265306,38.55515802825784,1.265306,36.43110603110697,1.265306,34.53051997395529,1.265306,32.81857911608814,1.265306,31.26786752240461,1.265306,29.85632286160687,1.265306,28.56588884542782
1.306122,74.42677195849991,1.306122,66.38420884879498,1.306122,60.29985001092645,1.306122,55.43862881609071,1.306122,51.40488653538336,1.306122,47.96938097354207,1.306122,44.9893844461503,1.306122,42.36991325594722,1.306122,40.04400461432001,1.306122,37.96217949913412,1.306122,36.08651209902001,1.306122,34.3871057666723,1.306122,32.83988308181455,1.306122,31.42512846604881
1.346939,81.04361736393236,1.346939,72.38513192402085,1.346939,65.80661090058902,1.346939,60.53593350029521,1.346939,56.15474585978429,1.346939,52.41914851502942,1.346939,49.17644805083558,1.346939,46.32456527987616,1.346939,43.79128459113867,1.346939,41.52311265618834,1.346939,39.47897677230731,1.346939,37.62646270796818,1.346939,35.93944559865652,1.346939,34.39652218854297
1.387755,87.8432556956357,1.387755,78.56126709974535,1.387755,71.48085496264891,1.387755,65.79330266408631,1.387755,61.0577157281763,1.387755,57.01556723911044,1.387755,53.50417919943408,1.387755,50.41434128268514,1.387755,47.66854569629371,1.387755,45.20924686382258,1.387755,42.99219044733535,1.387755,40.98241348666222,1.387755,39.15171598969383,1.387755,37.47698247673038
1.428571,94.81645851363436,1.428571,84.90436175201941,1.428571,77.3151764575406,1.428571,71.20405657179873,1.428571,66.10773853706225,1.428571,61.7531149839543,1.428571,57.9675193573628,1.428571,54.63458677241045,1.428571,51.67148777911252,1.428571,49.01659457576144,1.428571,46.62244288569778,1.428571,44.45149511584998,1.428571,42.47345275749932,1.428571,40.66346710594055
1.469388,101.9544356532014,1.469388,91.40651901255758,1.469388,83.30246056631934,1.469388,76.76175542338963,1.469388,71.29895620582596,1.469388,66.62643675105241,1.469388,62.56155097090225,1.469388,58.98076684225542,1.469388,55.79591262898587,1.469388,52.94125551145751,1.469388,50.36609881767119,1.469388,48.03030920077479,1.469388,45.90147018537692,1.469388,43.95298210660467
1.510204,109.2488502274079,1.510204,98.06021582520169,1.510204,89.43590281547854,1.510204,82.46021916719603,1.510204,76.62572981399551,1.510204,71.63036384886762,1.510204,67.28151594457213,1.510204,63.44848389618004,1.510204,60.03774091622375,1.510204,56.97943281096208,1.510204,54.21961332872417,1.510204,51.71553658550878,1.510204,49.43265227864492,1.510204,47.34259503730573
1.55102,116.6916284050756,1.55102,104.8581345808248,1.55102,95.70885983134656,1.55102,88.29339461677255,1.55102,82.08252065688465,1.55102,76.75980685060385,1.55102,72.12271881452031,1.55102,68.03338964458494,1.55102,64.39293185526557,1.55102,61.12735940321155,1.55102,58.17946412542055,1.55102,55.50387483438333,1.55102,53.06389488153118,1.55102,50.82938124066607
1.591837,124.2752825583152,1.591837,111.7934597285596,1.591837,102.1151199611265,1.591837,94.25560213497987,1.591837,87.66411542669984,1.591837,82.00996164875176,1.591837,77.08071584026446,1.591837,72.73135914571372,1.591837,68.85764386460666,1.591837,65.38144673392578,1.591837,62.24228958941458,1.591837,59.39216670584022,1.591837,56.7922255242681,1.591837,54.41053589738398
1.632653,131.9925508336717,1.632653,118.859554439963,1.632653,108.6486135806879,1.632653,100.3412754506628,1.632653,93.36539162840009,1.632653,87.37609704169087,1.632653,82.15112183969882,1.632653,77.53831442245226,1.632653,73.42807288649274,1.632653,69.73813603170287,1.632653,66.40475149937588,1.632653,63.37727305873971,1.632653,60.61468542337537,1.632653,58.08326418031396
1.673469,139.8365505295515,1.673469,126.0501026993627,1.673469,115.3035436987387,1.673469,106.5450814404519,1.673469,99.1814274848529,1.673469,92.85365574855024,1.673469,87.32970324464316,1.673469,82.45031040104759,1.673469,78.10053195666934,1.673469,74.19397216699328,1.673469,70.66360375665107,1.673469,67.45613695120844,1.673469,64.52838939853933,1.673469,61.84483738091615
1.714286,147.8007269416492,1.714286,133.3590657254796,1.714286,122.0743486339587,1.714286,112.8618879196885,1.714286,105.1074739175184,1.714286,98.43822984655746,1.714286,92.6123564146789,1.714286,87.46351564008192,1.714286,82.87143397875148,1.714286,78.74558817288241,1.714286,75.0156784084716,1.714286,71.6257709653908,1.714286,68.53051433209892,1.714286,65.69258236386398
1.755102,155.8788371810037,1.755102,140.7806698400074,1.755102,128.9556929322144,1.755102,119.2867568540687,1.755102,111.1389494965977,1.755102,104.125557050275,1.755102,97.99510494180618,1.755102,92.57421043305636,1.755102,87.73729045247639,1.755102,83.38970446721352,1.755102,79.45788526210809,1.755102,75.88325713422681,1.755102,72.61829934602248,1.755102,69.62388194476571
1.795918,164.0649347513382,1.795918,148.309394792684,1.795918,135.9424585377783,1.795918,125.8149376900545,1.795918,117.2714354194296,1.795918,109.9115169584408,1.795918,103.4740968822334,1.795918,97.77878481139645,1.795918,92.69471008514881,1.795918,88.1231279472504,1.795918,83.98721136550299,1.795918,80.22574673186206,1.795918,76.78904584190946,1.795918,73.63617513186912
